ANZLIC_ID|COLUMN_NAME|OBLIGATION|IS_UNIQUE|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|REFTAB_OWNER_NAME|REFTAB_TABLE_NAME|REFTAB_CODE_COLUMN_NAME|COMMENTS
ANZVI0803001024|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001024|LAND_STATUS|O|N|NUMBER|22|11|0||||
ANZVI0803001024|LAND_TYPE|O|N|NUMBER|22|11|0||||
ANZVI0803001024|MMT_REC|O|N|NUMBER|22|11|0||||
ANZVI0803001024|MMT_STATUS|O|N|NUMBER|22|11|0||||
ANZVI0803001024|NP_ACT|O|N|NUMBER|22|11|0||||
ANZVI0803001024|REF_AREA|O|N|NUMBER|22|11|0||||
ANZVI0803001024|TEMP_ID|O|N|NUMBER|22|11|0||||
ANZVI0803001024|VERSION|O|N|NUMBER|22|11|0||||
ANZVI0803001024|WZONE|O|N|VARCHAR2|3||||||
ANZVI0803001024|X_LAND_STATUS|O|N|VARCHAR2|50||||||
ANZVI0803001024|X_MMT_REC|O|N|VARCHAR2|50||||||
ANZVI0803001024|X_MMT_STATUS|O|N|VARCHAR2|50||||||
ANZVI0803001024|X_REF_AREA|O|N|VARCHAR2|50||||||
ANZVI0803001024|X_WZONE|O|N|VARCHAR2|50||||||
ANZVI0803001025|LPKEY|O|N|VARCHAR2|6||||||
ANZVI0803001025|TYPE|O|N|VARCHAR2|1||||||
ANZVI0803001025|X_LOCALNAME|O|N|VARCHAR2|30||||||
ANZVI0803001025|X_LOCATION|O|N|VARCHAR2|40||||||
ANZVI0803001031|LEVEL_SDE|O|N|NUMBER|22|38|0||||
ANZVI0803001031|SOURCED|O|N|NUMBER|22|38|0||||
ANZVI0803001031|TW_NAME|O|N|VARCHAR2|35||||||
ANZVI0803001032|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001032|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001032|LANDPAT|O|N|VARCHAR2|2||||||
ANZVI0803001032|LITHOL|O|N|VARCHAR2|1||||||
ANZVI0803001032|LSCODE|O|N|VARCHAR2|4||||||
ANZVI0803001032|LSSTUDY|O|N|NUMBER|22|10|0||||
ANZVI0803001032|RF_MAX|O|N|NUMBER|22|10|0||||
ANZVI0803001032|RF_MIN|O|N|NUMBER|22|10|0||||
ANZVI0803001032|SOILS|O|N|VARCHAR2|30||||||
ANZVI0803001033|AREASQM|O|N|NUMBER|22|38|3||||
ANZVI0803001033|CLIMATE|O|N|VARCHAR2|2||||||
ANZVI0803001033|CLIMATE_DESC|O|N|VARCHAR2|30||||||
ANZVI0803001033|COMPACT|O|N|NUMBER|22|5|0||||
ANZVI0803001033|COMPACT_B_FORCE|O|N|VARCHAR2|50||||||
ANZVI0803001033|COMPACT_CLASS|O|N|VARCHAR2|2||||||
ANZVI0803001033|COMPACT_SUSCEPT|O|N|VARCHAR2|8||||||
ANZVI0803001033|EQUIV_LSCODE|O|N|VARCHAR2|200||||||
ANZVI0803001033|FEATURE|O|N|VARCHAR2|1||||||
ANZVI0803001033|FEATURE_DESC|O|N|VARCHAR2|12||||||
ANZVI0803001033|GMU|O|N|VARCHAR2|5||||||
ANZVI0803001033|GMU_DESC|O|N|VARCHAR2|50||||||
ANZVI0803001033|HECTARES|O|N|NUMBER|22|38|3||||
ANZVI0803001033|LANDFORM|O|N|VARCHAR2|4||||||
ANZVI0803001033|LANDFORM_DESC|O|N|VARCHAR2|50||||||
ANZVI0803001033|LEACH|O|N|NUMBER|22|5|0||||
ANZVI0803001033|LEACH_SOILPH|O|N|VARCHAR2|10||||||
ANZVI0803001033|LEACH_SUSCEPT|O|N|VARCHAR2|8||||||
ANZVI0803001033|LITHAGE|O|N|VARCHAR2|2||||||
ANZVI0803001033|LITHAGE_DESC|O|N|VARCHAR2|50||||||
ANZVI0803001033|LITHOLOGY|O|N|VARCHAR2|4||||||
ANZVI0803001033|LITHOLOGY_DESC|O|N|VARCHAR2|50||||||
ANZVI0803001033|LSYSCODE|O|N|VARCHAR2|19||||||
ANZVI0803001033|LS_RELIABIL|O|N|VARCHAR2|1||||||
ANZVI0803001033|MASS_EVIDENCE|O|N|VARCHAR2|200||||||
ANZVI0803001033|MASS_MOV|O|N|NUMBER|22|5|0||||
ANZVI0803001033|MASS_SUSCEPT|O|N|VARCHAR2|20||||||
ANZVI0803001033|PERFAG_POTENTIAL|O|N|VARCHAR2|8||||||
ANZVI0803001033|PERF_AGG|O|N|NUMBER|22|5|0||||
ANZVI0803001033|SALT|O|N|NUMBER|22|5|0||||
ANZVI0803001033|SALT_CONDITIONS|O|N|VARCHAR2|250||||||
ANZVI0803001033|SALT_SUSCEPT|O|N|VARCHAR2|8||||||
ANZVI0803001033|SHORT_LSYSCODE|O|N|VARCHAR2|16||||||
ANZVI0803001033|SOIL_DESC|O|N|VARCHAR2|100||||||
ANZVI0803001033|SUBSCRIPT|O|N|VARCHAR2|2||||||
ANZVI0803001033|VEGETATION|O|N|VARCHAR2|40||||||
ANZVI0803001033|VERSION|O|N|NUMBER|22|5|0||||
ANZVI0803001033|WATERER_SUSCEPT|O|N|VARCHAR2|8||||||
ANZVI0803001033|WATERER_S_DEPTH|O|N|VARCHAR2|5||||||
ANZVI0803001033|WATERLOG_D_CLASS|O|N|VARCHAR2|250||||||
ANZVI0803001033|WATERLOG_SUSCEPT|O|N|VARCHAR2|8||||||
ANZVI0803001033|WATER_ER|O|N|NUMBER|22|5|0||||
ANZVI0803001033|WATER_LOG|O|N|NUMBER|22|5|0||||
ANZVI0803001033|WINDER_SUSCEPT|O|N|VARCHAR2|8||||||
ANZVI0803001033|WINDER_S_TEXTURE|O|N|VARCHAR2|8||||||
ANZVI0803001033|WIND_ER|O|N|NUMBER|22|5|0||||
ANZVI0803001034|ACCESSORY_LOT|O|N|VARCHAR2|1||||||
ANZVI0803001034|ALLOTMENT|O|N|VARCHAR2|10|||NONE|NONE|NONE|
ANZVI0803001034|BLOCK|O|N|VARCHAR2|12|||NONE|NONE|NONE|
ANZVI0803001034|CREFNO|O|N|VARCHAR2|15|||NONE|NONE|NONE|
ANZVI0803001034|CROWN_STATUS|O|N|VARCHAR2|1|||VMREFTAB|PR_CROWN_STATUS|CROWN_STATUS_CODE|
ANZVI0803001034|DESC_TYPE|O|N|VARCHAR2|2|||VMREFTAB|PR_DESC_TYPE|DESC_TYPE_CODE|
ANZVI0803001034|FURTHER_DESCRIPTION|O|N|VARCHAR2|80|||NONE|NONE|NONE|
ANZVI0803001034|LGA_CODE|O|N|VARCHAR2|3|||VMREFTAB|LGA|LGA_CODE|
ANZVI0803001034|LOT_NUMBER|O|N|VARCHAR2|12|||NONE|NONE|NONE|
ANZVI0803001034|PARISH_CODE|O|N|VARCHAR2|4|||VMREFTAB|PARISH|PARISH_CODE|
ANZVI0803001034|PART|M|N|VARCHAR2|1|||VMREFTAB|PR_PART|PART_CODE|
ANZVI0803001034|PFI|O|N|VARCHAR2|10|||NONE|NONE|NONE|
ANZVI0803001034|PFI_CREATED|O|N|DATE|7|||NONE|NONE|NONE|
ANZVI0803001034|PLAN_NUMBER|O|N|VARCHAR2|9|||NONE|NONE|NONE|
ANZVI0803001034|PORTION|O|N|VARCHAR2|12|||NONE|NONE|NONE|
ANZVI0803001034|P_NUMBER|O|N|VARCHAR2|10|||NONE|NONE|NONE|
ANZVI0803001034|SEC|O|N|VARCHAR2|12|||NONE|NONE|NONE|
ANZVI0803001034|SPI|O|N|VARCHAR2|18|||NONE|NONE|NONE|
ANZVI0803001034|SPI_CODE|O|N|NUMBER|22|3|0|VMREFTAB|PR_SPI|SPI_CODE|
ANZVI0803001034|STATUS|O|N|VARCHAR2|1|||VMREFTAB|PR_STATUS|STATUS_CODE|
ANZVI0803001034|SUBDIVISION|O|N|VARCHAR2|12|||NONE|NONE|NONE|
ANZVI0803001034|TOWNSHIP_CODE|O|N|VARCHAR2|5|||VMREFTAB|TOWNSHIP|TOWNSHIP_CODE|
ANZVI0803001034|UFI|O|N|NUMBER|22|10|0|NONE|NONE|NONE|
ANZVI0803001034|UFI_CREATED|O|N|DATE|7|||NONE|NONE|NONE|
ANZVI0803001034|UFI_OLD|O|N|NUMBER|22|10|0|NONE|NONE|NONE|
ANZVI0803001034|VIEW_PFI|O|N|VARCHAR2|10|||NONE|NONE|NONE|
ANZVI0803001039|AREASQM|O|N|NUMBER|22|38|8|NONE|NONE|NONE|
ANZVI0803001039|CATCH_ID|O|N|NUMBER|22|3|0|NONE|NONE|NONE|
ANZVI0803001039|CATCH_NAME|O|N|VARCHAR2|60|||NONE|NONE|NONE|
ANZVI0803001039|GAZETTED|O|N|VARCHAR2|1|||NONE|NONE|NONE|
ANZVI0803001039|HECTARES|O|N|NUMBER|22|38|8|NONE|NONE|NONE|
ANZVI0803001039|PWSC|O|N|VARCHAR2|4|||NONE|NONE|NONE|
ANZVI0803001039|STATUS|O|N|VARCHAR2|25|||NONE|NONE|NONE|
ANZVI0803001039|STATUS_DATE|O|N|DATE|7|||NONE|NONE|NONE|
ANZVI0803001040|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001040|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001040|RFCODE|O|N|NUMBER|22|10|0||||
ANZVI0803001040|X_RFCODE|O|N|VARCHAR2|50||||||
ANZVI0803001047|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001047|DESC_SDE|O|N|VARCHAR2|50||||||
ANZVI0803001047|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001047|SHIRE|O|N|NUMBER|22|10|0||||
ANZVI0803001047|SLA_NO|O|N|NUMBER|22|10|0||||
ANZVI0803001047|TEXT|O|N|VARCHAR2|80||||||
ANZVI0803001047|UFI|O|N|NUMBER|22|9|0||||
ANZVI0803001047|UFI_CREATED|O|N|DATE|7||||||
ANZVI0803001047|VERSION|O|N|NUMBER|22|10|0||||
ANZVI0803001052|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001052|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001052|SHEETNO|O|N|NUMBER|22|4|0||||
ANZVI0803001052|SHEET_NAME|O|N|VARCHAR2|20||||||
ANZVI0803001052|TILE_NAME|O|N|VARCHAR2|32||||||
ANZVI0803001053|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001053|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001053|SHEETNO|O|N|NUMBER|22|10|0||||
ANZVI0803001053|SHEET_NAME|O|N|VARCHAR2|20||||||
ANZVI0803001053|TILE_NAME|O|N|VARCHAR2|32||||||
ANZVI0803001064|AMG|O|N|VARCHAR2|6||||||
ANZVI0803001064|CFLREG|O|N|NUMBER|22|10|0||||
ANZVI0803001064|CONRAT|O|N|VARCHAR2|1||||||
ANZVI0803001064|COSTAT|O|N|VARCHAR2|2||||||
ANZVI0803001064|CUAREA|O|N|NUMBER|22|10|0||||
ANZVI0803001064|CURCAT|O|N|VARCHAR2|2||||||
ANZVI0803001064|DRAIN|O|N|VARCHAR2|2||||||
ANZVI0803001064|EC|O|N|VARCHAR2|1||||||
ANZVI0803001064|L500_BASIN_NO|O|N|NUMBER|22|10|0||||
ANZVI0803001064|L500_CLIMATE|O|N|VARCHAR2|1||||||
ANZVI0803001064|L500_GMU|O|N|VARCHAR2|3||||||
ANZVI0803001064|L500_LANDFORM|O|N|VARCHAR2|4||||||
ANZVI0803001064|L500_LITHOLOGY|O|N|VARCHAR2|4||||||
ANZVI0803001064|L500_REGION|O|N|NUMBER|22|10|0||||
ANZVI0803001064|L500_SALREG_NAME|O|N|VARCHAR2|12||||||
ANZVI0803001064|L500_SHIRE|O|N|NUMBER|22|10|0||||
ANZVI0803001064|L500_SUBSCRIPT|O|N|VARCHAR2|2||||||
ANZVI0803001064|L500_WETEVAL_NO|O|N|NUMBER|22|10|0||||
ANZVI0803001064|LAT|O|N|VARCHAR2|5||||||
ANZVI0803001064|LONG_SDE|O|N|VARCHAR2|6||||||
ANZVI0803001064|MAP|O|N|VARCHAR2|4||||||
ANZVI0803001064|MM|O|N|VARCHAR2|1||||||
ANZVI0803001064|PRAREA|O|N|NUMBER|22|10|0||||
ANZVI0803001064|PRECAT|O|N|VARCHAR2|2||||||
ANZVI0803001064|SA|O|N|VARCHAR2|3||||||
ANZVI0803001064|SALDIR|O|N|VARCHAR2|2||||||
ANZVI0803001064|SAREA1|O|N|NUMBER|22|10|0||||
ANZVI0803001064|SAREA2|O|N|NUMBER|22|10|0||||
ANZVI0803001064|SAREA3|O|N|NUMBER|22|10|0||||
ANZVI0803001064|SAREA4|O|N|NUMBER|22|10|0||||
ANZVI0803001064|SAREA5|O|N|NUMBER|22|10|0||||
ANZVI0803001064|SCAT1|O|N|VARCHAR2|2||||||
ANZVI0803001064|SCAT2|O|N|VARCHAR2|2||||||
ANZVI0803001064|SCAT3|O|N|VARCHAR2|2||||||
ANZVI0803001064|SCAT4|O|N|VARCHAR2|2||||||
ANZVI0803001064|SCAT5|O|N|VARCHAR2|2||||||
ANZVI0803001064|SHIRE1|O|N|VARCHAR2|3||||||
ANZVI0803001064|SHIRE2|O|N|VARCHAR2|3||||||
ANZVI0803001064|SHIRE3|O|N|VARCHAR2|3||||||
ANZVI0803001064|SHIRE4|O|N|VARCHAR2|3||||||
ANZVI0803001065|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001065|CATEGORY|O|N|NUMBER|22|4|2||||
ANZVI0803001065|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001065|MAPSHEET|O|N|NUMBER|22|4|0||||
ANZVI0803001065|POLYFLAG|O|N|NUMBER|22|1|0||||
ANZVI0803001065|WETLAND|O|N|NUMBER|22|6|0||||
ANZVI0803001065|X_CATEGORY|O|N|VARCHAR2|25||||||
ANZVI0803001065|X_SUBCATEGORY|O|N|VARCHAR2|20||||||
ANZVI0803001066|ALT_NAME|O|N|VARCHAR2|50||||||
ANZVI0803001066|AREASQM|O|N|NUMBER|22|18|2||||Area of feature in square metres
ANZVI0803001066|CATEGORY|O|N|NUMBER|22|15|4||||Code describing the wetland category and sub-category.  Use the CATCODE field in the NORMCATS.LUT table to obtain a consistent subcategory classification across all primary categories or CATCODE  in the GENCATS.LUT table to shade by primary category.
ANZVI0803001066|HECTARES|O|N|NUMBER|22|18|2||||Area of feature in hectares
ANZVI0803001066|MAIN_NAME|O|N|VARCHAR2|50||||||
ANZVI0803001066|MAPSHEET|O|N|NUMBER|22|10|0||||1:100000 mapsheet number.  This must correspond to the tile name.
ANZVI0803001066|POLYFLAG|O|N|NUMBER|22|10|0||||POLYFLAG is used to reselect label points, so that in multi polygon wetlands, only one polygon is used for labelling.  When POLYFLAG is set to 9  it is used for labelling.
ANZVI0803001066|SEARCH|O|N|VARCHAR2|90||||||
ANZVI0803001066|WETLAND|O|N|NUMBER|22|10|0||||A 6 figure AMG grid reference ie. 3 Eastings followed by 3 Northings.  See the PAT for further details.
ANZVI0803001066|X_CATEGORY|O|N|VARCHAR2|15||||||
ANZVI0803001066|X_SUBCATEGORY|O|N|VARCHAR2|20||||||
ANZVI0803001069|AREASQM|O|N|NUMBER|22|38|8||||
ANZVI0803001069|BASIN_NAME|O|N|VARCHAR2|30||||||
ANZVI0803001069|BASIN_NO|O|N|NUMBER|22|4|0||||
ANZVI0803001069|HECTARES|O|N|NUMBER|22|38|8||||
ANZVI0803001071|AS2482|O|N|NUMBER|22|10|0||||
ANZVI0803001071|LENGTHM|O|N|NUMBER|22|18|2||||
ANZVI0803001071|SOURCEA|O|N|NUMBER|22|10|0||||
ANZVI0803001071|SOURCED|O|N|NUMBER|22|10|0||||
ANZVI0803001071|TEMPLATE|O|N|NUMBER|22|10|0||||
ANZVI0803001071|VERSION|O|N|NUMBER|22|10|0||||
ANZVI0803001075|AREASQM|O|N|NUMBER|22|18|2||||Area of feature in square metres
ANZVI0803001075|HECTARES|O|N|NUMBER|22|18|2||||Area of feature in hectares
ANZVI0803001075|TREE|O|N|VARCHAR2|1||||||Tree Coverage as identified as:P=Present, A=Absent, U=Unmapped (no data)
ANZVI0803001075|TREE100_SRC|O|N|NUMBER|22|4|0||||Source of information
ANZVI0803001075|X_TREEDESC|O|N|VARCHAR2|20||||||
ANZVI0803001075|X_TREESRC|O|N|VARCHAR2|50||||||
ANZVI0803001077|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001077|CONT_CODE|O|N|NUMBER|22|10|0||||
ANZVI0803001077|CONT_NAME|O|N|VARCHAR2|30||||||
ANZVI0803001077|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001077|REG|O|N|VARCHAR2|4||||||
ANZVI0803001077|SE_ANNO_CAD_DATA|O|N|BLOB|4000||||||
ANZVI0803001079|ALTITUDE|O|N|NUMBER|22|10|0||||
ANZVI0803001079|CODE|O|N|NUMBER|22|10|0||||
ANZVI0803001079|DATE_FN|O|N|NUMBER|22|10|0||||
ANZVI0803001079|DATE_ST|O|N|NUMBER|22|10|0||||
ANZVI0803001079|DAY_FN|O|N|NUMBER|22|10|0||||
ANZVI0803001079|DAY_ST|O|N|NUMBER|22|10|0||||
ANZVI0803001079|FEATURETYPE|O|N|VARCHAR2|6||||||
ANZVI0803001079|LOCN_ACC|O|N|NUMBER|22|15|4||||
ANZVI0803001079|LOWERCOUNT|O|N|NUMBER|22|10|0||||
ANZVI0803001079|MTH_FN|O|N|NUMBER|22|10|0||||
ANZVI0803001079|MTH_ST|O|N|NUMBER|22|10|0||||
ANZVI0803001079|PROJECTID|O|N|NUMBER|22|10|0||||
ANZVI0803001079|REF|O|N|NUMBER|22|10|0||||
ANZVI0803001079|RELIABID|O|N|VARCHAR2|1||||||
ANZVI0803001079|SE_ANNO_CAD_DATA|O|N|BLOB|4000||||||
ANZVI0803001079|SURVEYID|O|N|NUMBER|22|10|0||||
ANZVI0803001079|TAXAID|O|N|NUMBER|22|10|0||||
ANZVI0803001079|TYPE|O|N|VARCHAR2|1||||||
ANZVI0803001079|TYPEDESC|O|N|VARCHAR2|40||||||
ANZVI0803001079|UPPERCOUNT|O|N|NUMBER|22|10|0||||
ANZVI0803001079|XTRACODE|O|N|VARCHAR2|1||||||
ANZVI0803001079|XTRADESC|O|N|VARCHAR2|40||||||
ANZVI0803001079|X_ACCMETRE|O|N|NUMBER|22|15|4||||
ANZVI0803001079|X_ENGLISH|O|N|VARCHAR2|50||||||
ANZVI0803001079|X_EPBC|O|N|VARCHAR2|3||||||
ANZVI0803001079|X_EPBCDESC|O|N|VARCHAR2|25||||||
ANZVI0803001079|X_FFG|O|N|VARCHAR2|3||||||
ANZVI0803001079|X_FFGDESC|O|N|VARCHAR2|10||||||
ANZVI0803001079|X_GRPDESC|O|N|VARCHAR2|25||||||
ANZVI0803001079|X_LATIN|O|N|VARCHAR2|50||||||
ANZVI0803001079|X_TREATY|O|N|VARCHAR2|2||||||
ANZVI0803001079|X_VROTS|O|N|VARCHAR2|3||||||
ANZVI0803001079|X_VROTSDESC|O|N|VARCHAR2|25||||||
ANZVI0803001079|YR_FN|O|N|NUMBER|22|10|0||||
ANZVI0803001079|YR_ST|O|N|NUMBER|22|10|0||||
ANZVI0803001081|ALTITUDE|O|N|NUMBER|22|10|0||||
ANZVI0803001081|DATE_SDE|O|N|NUMBER|22|10|0||||
ANZVI0803001081|DAY|O|N|NUMBER|22|10|0||||
ANZVI0803001081|FEATURETYPE|O|N|VARCHAR2|6||||||
ANZVI0803001081|FLORACC|O|N|NUMBER|22|15|4||||
ANZVI0803001081|FLORSOURCE|O|N|NUMBER|22|10|0||||
ANZVI0803001081|MTH|O|N|NUMBER|22|10|0||||
ANZVI0803001081|NUMBERSPP|O|N|NUMBER|22|10|0||||
ANZVI0803001081|QUADID|O|N|VARCHAR2|8||||||
ANZVI0803001081|SE_ANNO_CAD_DATA|O|N|BLOB|4000||||||
ANZVI0803001081|YR|O|N|NUMBER|22|10|0||||
ANZVI0803001088|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001088|FTYPE|O|N|NUMBER|22|10|0||||
ANZVI0803001088|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001088|X_DESC|O|N|VARCHAR2|30||||||
ANZVI0803001093|BOUND_SRC|O|N|VARCHAR2|15|0|0||||
ANZVI0803001093|RAMSAR|O|N|NUMBER|22|38|0||||Victorian Ramsar Site number
ANZVI0803001093|SITE_NAME|O|N|VARCHAR2|70|0|0||||Victorian Ramsar Site name
ANZVI0803001093|SOURCEA|O|N|NUMBER|22|38|0||||Analog Source
ANZVI0803001093|SOURCED|O|N|NUMBER|22|38|0||||Digital Source
ANZVI0803001093|VERSION|O|N|NUMBER|22|38|0||||Major revision number applied to the features modified.
ANZVI0803001096|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001096|FL_POLYID|O|N|NUMBER|22|10|0||||
ANZVI0803001096|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001096|SE_ANNO_CAD_DATA|O|N|BLOB|4000||||||
ANZVI0803001097|SE_ANNO_CAD_DATA|O|N|BLOB|4000||||||
ANZVI0803001097|THFAUNA_ID|O|N|NUMBER|22|7|0||||
ANZVI0803001098|AMGREF|O|N|NUMBER|22|10|0||||
ANZVI0803001098|AREABUSH|O|N|NUMBER|22|15|4||||
ANZVI0803001098|AREARESTO|O|N|NUMBER|22|15|4||||
ANZVI0803001098|AREARETEN|O|N|NUMBER|22|15|4||||
ANZVI0803001098|ASSDATE|O|N|NUMBER|22|10|0||||
ANZVI0803001098|DEREGDATE|O|N|NUMBER|22|10|0||||
ANZVI0803001098|LFWREC|O|N|VARCHAR2|1||||||
ANZVI0803001098|LGACODE|O|N|NUMBER|22|10|0||||
ANZVI0803001098|MAPSHEET|O|N|NUMBER|22|10|0||||
ANZVI0803001098|PAR_CODE|O|N|VARCHAR2|5||||||
ANZVI0803001098|PERMSTRM|O|N|VARCHAR2|1||||||
ANZVI0803001098|PRLANDUSE|O|N|VARCHAR2|1||||||
ANZVI0803001098|PROPAREA|O|N|NUMBER|22|15|4||||
ANZVI0803001098|PROPNO|O|N|VARCHAR2|8||||||
ANZVI0803001098|REGDATE|O|N|NUMBER|22|10|0||||
ANZVI0803001098|TEMPSTRM|O|N|VARCHAR2|1||||||
ANZVI0803001100|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803001100|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803001100|LCC_NAME|O|N|VARCHAR2|30||||||
ANZVI0803001100|LCC_NO|O|N|NUMBER|22|10|0||||
ANZVI0803002015|AS2482|O|N|NUMBER|22|10|0||||
ANZVI0803002015|DEPTH|O|N|NUMBER|22|10|0||||
ANZVI0803002015|FEATURE|O|N|VARCHAR2|50||||||
ANZVI0803002015|LENGTHM|O|N|NUMBER|22|18|2||||
ANZVI0803002015|SOURCEA|O|N|NUMBER|22|10|0||||
ANZVI0803002015|SOURCED|O|N|NUMBER|22|10|0||||
ANZVI0803002015|VERSION|O|N|NUMBER|22|10|0||||
ANZVI0803002019|CAT|O|N|NUMBER|22|2|0||||
ANZVI0803002019|SHAPE_FID|O|N|NUMBER|22||0||||
ANZVI0803002024|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803002024|EPACODE|O|N|NUMBER|22|10|0||||
ANZVI0803002024|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803002024|NAME|O|N|VARCHAR2|30||||||
ANZVI0803002026|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803002026|DISTRICT|O|N|VARCHAR2|50||||||
ANZVI0803002026|DIVISION|O|N|NUMBER|22|10|0||||
ANZVI0803002026|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803002026|REGION|O|N|NUMBER|22|10|0||||
ANZVI0803002028|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803002028|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803002028|TAG|O|N|VARCHAR2|32||||||
ANZVI0803002028|TFB_97_ID|O|N|NUMBER|22|15|4||||
ANZVI0803002030|ABB_NAME|O|N|VARCHAR2|35||||||
ANZVI0803002030|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803002030|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803002030|REG_NAME|O|N|VARCHAR2|35||||||
ANZVI0803002030|REG_NUM|O|N|NUMBER|22|10|0||||
ANZVI0803002031|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803002031|CHANGE|O|N|NUMBER|22|10|0||||
ANZVI0803002031|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803002031|STATUS|O|N|NUMBER|22|10|0||||
ANZVI0803002031|X_CHANGE|O|N|VARCHAR2|30||||||
ANZVI0803002031|X_STATUS|O|N|VARCHAR2|20||||||
ANZVI0803002040|AREASQM|O|N|NUMBER|22|18|2||||
ANZVI0803002040|CHANGE|O|N|NUMBER|22|10|0||||
ANZVI0803002040|HECTARES|O|N|NUMBER|22|18|2||||
ANZVI0803002040|STATUS|O|N|NUMBER|22|10|0||||
